rating_category,Approved,G,NC-17,Not Rated,PG,PG-13,Passed,R
8.2-8.4,12,8,1,12,19,16,3,42
8.5,0,3,0,1,4,3,0,12
8.6-8.7,1,0,0,2,5,2,0,9
8.8-8.9,0,0,0,0,0,4,0,3
9-9.3,1,0,0,0,0,2,0,4
Other,10,7,0,9,10,8,2,31
